state,urban_population,avg_aqi
Andhra Pradesh,19899000.0,73.01112877583466
Arunachal Pradesh,410000.0,58.07692307692308
Assam,5682666.666666667,108.6990099009901
Bihar,15992666.666666666,135.7260947274352
Chandigarh,1246666.6666666667,151.7568306010929
Chhattisgarh,8434000.0,75.6909242994563
Delhi,21803000.0,208.9344262295082
Gujarat,35860000.0,101.6470588235294
Haryana,13150666.666666666,131.1158355881974
Himachal Pradesh,777666.6666666666,166.45098039215685
Jharkhand,10591333.333333334,154.62637362637363
Karnataka,30734666.666666668,59.87420269312544
Kerala,28058666.666666668,64.7717019822283
Madhya Pradesh,25618333.333333332,107.02759871071716
Maharashtra,62406000.0,99.16724436741768
Manipur,1068666.6666666667,108.63879598662207
Meghalaya,701666.6666666666,74.86666666666666
Mizoram,693000.0,46.39204545454545
Nagaland,1078000.0,82.26363636363637
Odisha,8896000.0,117.18980275400074
Puducherry,1192333.3333333333,54.63323782234957
Punjab,13106666.666666666,118.07112068965517
Rajasthan,22019000.0,125.64286331059493
Sikkim,360666.6666666667,47.70036101083033
Tamil Nadu,41869666.666666664,61.278759057971016
Telangana,18642666.666666668,76.78688524590164
Tripura,1706333.3333333333,139.8984126984127
Uttar Pradesh,57824666.666666664,120.50119097660081
Uttarakhand,4304333.333333333,93.48596321393998
West Bengal,37226000.0,118.05755395683454
